Fecha,Día,Mes,Año,Día Nombre,Mes Nombre,Día de descanso,Holiday
02/26/2024,26,2,2024,Monday                                                                                                                                                                                                                                                         ,February                                                                                                                                                                                                                                                       ,Laborar,NA
02/27/2024,27,2,2024,Tuesday                                                                                                                                                                                                                                                        ,February                                                                                                                                                                                                                                                       ,Laborar,NA
02/28/2024,28,2,2024,Wednesday                                                                                                                                                                                                                                                      ,February                                                                                                                                                                                                                                                       ,Laborar,NA
02/29/2024,29,2,2024,Thursday                                                                                                                                                                                                                                                       ,February                                                                                                                                                                                                                                                       ,Laborar,NA
03/01/2024,1,3,2024,Friday                                                                                                                                                                                                                                                         ,March                                                                                                                                                                                                                                                          ,Laborar,NA
03/02/2024,2,3,2024,Saturday                                                                                                                                                                                                                                                       ,March                                                                                                                                                                                                                                                          ,Laborar,NA
03/03/2024,3,3,2024,Sunday                                                                                                                                                                                                                                                         ,March                                                                                                                                                                                                                                                          ,Descanso,NA
03/04/2024,4,3,2024,Monday                                                                                                                                                                                                                                                         ,March                                                                                                                                                                                                                                                          ,Laborar,NA
03/05/2024,5,3,2024,Tuesday                                                                                                                                                                                                                                                        ,March                                                                                                                                                                                                                                                          ,Laborar,NA
03/06/2024,6,3,2024,Wednesday                                                                                                                                                                                                                                                      ,March                                                                                                                                                                                                                                                          ,Laborar,NA
03/07/2024,7,3,2024,Thursday                                                                                                                                                                                                                                                       ,March                                                                                                                                                                                                                                                          ,Laborar,NA
03/08/2024,8,3,2024,Friday                                                                                                                                                                                                                                                         ,March                                                                                                                                                                                                                                                          ,Laborar,NA
03/09/2024,9,3,2024,Saturday                                                                                                                                                                                                                                                       ,March                                                                                                                                                                                                                                                          ,Laborar,NA
03/10/2024,10,3,2024,Sunday                                                                                                                                                                                                                                                         ,March                                                                                                                                                                                                                                                          ,Descanso,NA
03/11/2024,11,3,2024,Monday                                                                                                                                                                                                                                                         ,March                                                                                                                                                                                                                                                          ,Laborar,NA
03/12/2024,12,3,2024,Tuesday                                                                                                                                                                                                                                                        ,March                                                                                                                                                                                                                                                          ,Laborar,NA
03/13/2024,13,3,2024,Wednesday                                                                                                                                                                                                                                                      ,March                                                                                                                                                                                                                                                          ,Laborar,NA
03/14/2024,14,3,2024,Thursday                                                                                                                                                                                                                                                       ,March                                                                                                                                                                                                                                                          ,Laborar,NA
03/15/2024,15,3,2024,Friday                                                                                                                                                                                                                                                         ,March                                                                                                                                                                                                                                                          ,Laborar,NA
03/16/2024,16,3,2024,Saturday                                                                                                                                                                                                                                                       ,March                                                                                                                                                                                                                                                          ,Laborar,NA
03/17/2024,17,3,2024,Sunday                                                                                                                                                                                                                                                         ,March                                                                                                                                                                                                                                                          ,Descanso,NA
03/18/2024,18,3,2024,Monday                                                                                                                                                                                                                                                         ,March                                                                                                                                                                                                                                                          ,Laborar,NA
03/19/2024,19,3,2024,Tuesday                                                                                                                                                                                                                                                        ,March                                                                                                                                                                                                                                                          ,Laborar,NA
03/20/2024,20,3,2024,Wednesday                                                                                                                                                                                                                                                      ,March                                                                                                                                                                                                                                                          ,Laborar,NA
03/21/2024,21,3,2024,Thursday                                                                                                                                                                                                                                                       ,March                                                                                                                                                                                                                                                          ,Laborar,NA
03/22/2024,22,3,2024,Friday                                                                                                                                                                                                                                                         ,March                                                                                                                                                                                                                                                          ,Laborar,NA
03/23/2024,23,3,2024,Saturday                                                                                                                                                                                                                                                       ,March                                                                                                                                                                                                                                                          ,Laborar,NA
